Content,KC
"<p>Cho hình ảnh sau:</p><p><img src=""https://static-cloud.lotuslms.com/static/aeglobal/2025/06/03/38/68107446cf616b101a0a0238/683f1ca8b169dad83a029a15.png""></p><p>Tập hợp $E$ được viết dưới dạng liệt kê các phần tử là:</p>",01.K6.1.1.2 - Sử dụng được cách cho tập hợp
"<p><em>Cho hình ảnh sau:</em></p><p><em><img src=""https://static-cloud.lotuslms.com/static/aeglobal/2025/06/03/38/68107446cf616b101a0a0238/683f1cd2e332b597b40cd618.png"">﻿</em></p><p>Tập hợp $F$ được viết dưới dạng liệt kê các phần tử là: </p>",01.K6.1.1.2 - Sử dụng được cách cho tập hợp
<p>Kí hiệu của tập hợp số tự nhiên là:</p>,01.K6.1.2.1 - Nhận biết được tập hợp các số tự nhiên
<p>Kí hiệu của tập hợp số tự nhiên khác $0$ là:</p>,01.K6.1.2.1 - Nhận biết được tập hợp các số tự nhiên
<p>Gọi $\mathbb{N}$ là tập hợp gồm các số tự nhiên. Cách viết đúng của tập hợp số tự nhiên là:</p>,01.K6.1.2.1 - Nhận biết được tập hợp các số tự nhiên
<p>Gọi ${\mathbb{N}^* }$ là tập hợp gồm các số tự nhiên khác $0$. Cách viết đúng của tập hợp số tự nhiên khác $0$ là: </p>,01.K6.1.2.1 - Nhận biết được tập hợp các số tự nhiên
"<p><em style=""color: black;"">Điền từ thích hợp vào chỗ trống. </em></p><p class=""ql-align-justify""><span style=""color: black;"">Ta viết $n \in \mathbb{N}$ có nghĩa $n$ là một số __</span><strong style=""color: black;"">tự nhiên__</strong><span style=""color: black;"">. </span></p>",01.K6.1.2.1 - Nhận biết được tập hợp các số tự nhiên
Kéo định nghĩa ở cột bên phải vào thuật ngữ thích hợp.,01.K6.1.2.1 - Nhận biết được tập hợp các số tự nhiên
Kéo định nghĩa ở cột bên phải vào thuật ngữ thích hợp.,01.K6.1.2.1 - Nhận biết được tập hợp các số tự nhiên
"<p class=""ql-align-justify"">Nghe đoạn âm thanh sau và chọn đáp án đúng.</p>",01.K6.1.2.1 - Nhận biết được tập hợp các số tự nhiên
<p>Viết tập hợp $A = \left\{ {3;6;9;12;15;18;21} \right\}$&nbsp;bằng cách chỉ ra tính chất đặc trưng cho các phần tử của tập hợp đó: </p>,01.K6.1.2.1 - Nhận biết được tập hợp các số tự nhiên
"<p>Tập hợp $C = \left\{ {x|x \in {\mathbb{N}^ * },x \le 6} \right\}$ viết dưới dạng liệt kê các phần tử:</p>",01.K6.1.2.1 - Nhận biết được tập hợp các số tự nhiên
"<p>Tập hợp các số của số $54\,303$ là: </p>",01.K6.1.2.1 - Nhận biết được tập hợp các số tự nhiên
"<p class=""ql-align-justify"">Cho $B$ là tập hợp các số tự nhiên nhỏ hơn 5. </p><p class=""ql-align-justify""><em>Xét tính đúng sai cho các khẳng định sau</em>:</p>",01.K6.1.2.1 - Nhận biết được tập hợp các số tự nhiên
"<p class=""ql-align-justify""><em>Xét tính đúng sai cho các khẳng định sau</em>:</p>",01.K6.1.2.1 - Nhận biết được tập hợp các số tự nhiên
<p>Tập hợp các số tự nhiên có hai chữ số mà tổng các chữ số bằng 6 là:</p>,01.K6.1.2.1 - Nhận biết được tập hợp các số tự nhiên
"<p>Cho ba chữ số $a,b,c$ khác nhau và khác $0$. Gọi $A$ là tập hợp số tự nhiên có ba chữ số lập bởi cả ba chữ số trên. Tập hợp $A$ có bao nhiêu phần tử?</p>",01.K6.1.2.1 - Nhận biết được tập hợp các số tự nhiên
"<p>Cho hình ảnh sau: </p><p><img src=""https://static-cloud.lotuslms.com/static/aeglobal/2025/06/03/38/68107446cf616b101a0a0238/683f1d27f3065415070225a1.png""></p><p>Tập hợp $D$ có bao nhiêu phần tử thuộc tập hợp số tự nhiên. </p>",01.K6.1.2.1 - Nhận biết được tập hợp các số tự nhiên
"<p>Viết số $24\,354$ thành tổng giá trị các chữ số của nó.</p>",01.K6.1.3.2 - Nhận biết được giá trị các chữ số của một số tự nhiên viết trong hệ thập phân và biểu diễn được mỗi số tự nhiên thành tổng giá trị các chữ số của nó
"<p>Một số được viết dưới dạng tổng các chữ số là: $3 \times 10\,000 + 2 \times 100 + 2$. Đó là số nào? </p>",01.K6.1.3.2 - Nhận biết được giá trị các chữ số của một số tự nhiên viết trong hệ thập phân và biểu diễn được mỗi số tự nhiên thành tổng giá trị các chữ số của nó
"<p class=""ql-align-justify""><em>Điền từ thích hợp vào chỗ trống. </em></p><p>Mỗi số tự nhiên viết trong hệ thập phân đều biểu diễn được thành __<strong>tổng__</strong> giá trị các chữ số của nó. </p>",01.K6.1.3.2 - Nhận biết được giá trị các chữ số của một số tự nhiên viết trong hệ thập phân và biểu diễn được mỗi số tự nhiên thành tổng giá trị các chữ số của nó
Câu hỏi chỉ có 1 đáp án đúng (thầy cô có thể thay đổi thứ tự của các đáp án),01.K6.1.3.2 - Nhận biết được giá trị các chữ số của một số tự nhiên viết trong hệ thập phân và biểu diễn được mỗi số tự nhiên thành tổng giá trị các chữ số của nó
Câu hỏi chỉ có 1 đáp án đúng (thầy cô có thể thay đổi thứ tự của các đáp án),01.K6.1.3.2 - Nhận biết được giá trị các chữ số của một số tự nhiên viết trong hệ thập phân và biểu diễn được mỗi số tự nhiên thành tổng giá trị các chữ số của nó
"<p class=""ql-align-justify"">Nghe đoạn âm thanh sau và chọn đáp án đúng.</p>",01.K6.1.3.2 - Nhận biết được giá trị các chữ số của một số tự nhiên viết trong hệ thập phân và biểu diễn được mỗi số tự nhiên thành tổng giá trị các chữ số của nó
"<p>Biểu diễn số $6\,514$ trong hệ thập phân. </p>",01.K6.1.3.2 - Nhận biết được giá trị các chữ số của một số tự nhiên viết trong hệ thập phân và biểu diễn được mỗi số tự nhiên thành tổng giá trị các chữ số của nó
<p>Biểu diễn số $\overline {a5b} $ trong hệ thập phân</p>,01.K6.1.3.2 - Nhận biết được giá trị các chữ số của một số tự nhiên viết trong hệ thập phân và biểu diễn được mỗi số tự nhiên thành tổng giá trị các chữ số của nó
<p>Biểu diễn số $\overline {abc} $ trong hệ thập phân</p>,01.K6.1.3.2 - Nhận biết được giá trị các chữ số của một số tự nhiên viết trong hệ thập phân và biểu diễn được mỗi số tự nhiên thành tổng giá trị các chữ số của nó
<p>Biểu diễn số $\overline {abc} $ trong hệ thập phân</p>,01.K6.1.3.2 - Nhận biết được giá trị các chữ số của một số tự nhiên viết trong hệ thập phân và biểu diễn được mỗi số tự nhiên thành tổng giá trị các chữ số của nó
"<p class=""ql-align-justify"">Cho số tự nhiên có hai chữ số $\overline {ab} \,\left( {a \ne 0} \right)$. </p><p class=""ql-align-justify""><em>Xét tính đúng sai cho các khẳng định sau</em>:</p>",01.K6.1.3.2 - Nhận biết được giá trị các chữ số của một số tự nhiên viết trong hệ thập phân và biểu diễn được mỗi số tự nhiên thành tổng giá trị các chữ số của nó
Câu hỏi chỉ có 1 đáp án đúng (thầy cô có thể thay đổi thứ tự của các đáp án),01.K6.1.3.2 - Nhận biết được giá trị các chữ số của một số tự nhiên viết trong hệ thập phân và biểu diễn được mỗi số tự nhiên thành tổng giá trị các chữ số của nó
"<p>Bác Hà đi siêu thị, bác mang ba loại tiền: loại (có mệnh giá) 1 nghìn $1\,000$ đồng, loại 10 nghìn $10\,000$ đồng và loại 100 nghìn $100\,000$ đồng. Tổng số tiền bác phải trả là $291$ nghìn đồng. Nếu mỗi loại tiền, bác mang theo không quá 9 tờ thì bác phải trả bao nhiêu tờ tiền mỗi loại, mà nhân viên siêu thị không phải trả lại tiền thừa. </p>",01.K6.1.3.2 - Nhận biết được giá trị các chữ số của một số tự nhiên viết trong hệ thập phân và biểu diễn được mỗi số tự nhiên thành tổng giá trị các chữ số của nó
"<p>Chữ số 3 có mặt bao nhiêu lần khi viết $1\,000$ số tự nhiên đầu tiên. </p>",01.K6.1.3.2 - Nhận biết được giá trị các chữ số của một số tự nhiên viết trong hệ thập phân và biểu diễn được mỗi số tự nhiên thành tổng giá trị các chữ số của nó
"<p>Cho một số tự nhiên có bốn chữ số, nếu viết thêm chữ só 5 vào bên phải của số đó thì: </p>",01.K6.1.3.2 - Nhận biết được giá trị các chữ số của một số tự nhiên viết trong hệ thập phân và biểu diễn được mỗi số tự nhiên thành tổng giá trị các chữ số của nó
"<p>Cho một số tự nhiên có bốn chữ số, nếu viết thêm chữ số 2 vào bên trái của số đó thì: </p>",01.K6.1.3.2 - Nhận biết được giá trị các chữ số của một số tự nhiên viết trong hệ thập phân và biểu diễn được mỗi số tự nhiên thành tổng giá trị các chữ số của nó
<p>Số La Mã $XXVII$ có giá trị tương ứng trong hệ thập phân là:</p>,01.K6.1.4.1 - Biểu diễn được các số tự nhiên từ 1 đến 30 bằng cách sử dụng các chữ số La Mã
"<p class=""ql-align-justify"">Các số La Mã $XV, XXI$ được đọc lần lượt là:</p>",01.K6.1.4.1 - Biểu diễn được các số tự nhiên từ 1 đến 30 bằng cách sử dụng các chữ số La Mã
"<h4 class=""ql-align-justify"">Đồng hồ sau chỉ mấy giờ? </h4>",01.K6.1.4.1 - Biểu diễn được các số tự nhiên từ 1 đến 30 bằng cách sử dụng các chữ số La Mã
"<h4 class=""ql-align-justify""><span style=""color: windowtext;"">Đây là Đại hội lần thứ bao nhiêu của Đảng Cộng Sản Việt Nam?</span></h4>",01.K6.1.4.1 - Biểu diễn được các số tự nhiên từ 1 đến 30 bằng cách sử dụng các chữ số La Mã
"<h4 class=""ql-align-justify""><span style=""color: windowtext;"">Nghe đoạn âm thanh và trả lời câu hỏi: Đồng chí Tô Lâm là Đại biểu Quốc hội </span><strong style=""color: windowtext;"">những </strong><span style=""color: windowtext;"">khóa nào?</span></h4>",01.K6.1.4.1 - Biểu diễn được các số tự nhiên từ 1 đến 30 bằng cách sử dụng các chữ số La Mã
"<h4 class=""ql-align-justify""><span style=""color: windowtext;"">Dùng 5 que tính, em xếp được </span><strong style=""color: windowtext;"">những </strong><span style=""color: windowtext;"">số La Mã nào?</span></h4>",01.K6.1.4.1 - Biểu diễn được các số tự nhiên từ 1 đến 30 bằng cách sử dụng các chữ số La Mã
"<p><em style=""background-color: transparent; color: rgb(0, 0, 0);"">Xét tính đúng sai cho các khẳng định sau:</em></p>",01.K6.1.4.1 - Biểu diễn được các số tự nhiên từ 1 đến 30 bằng cách sử dụng các chữ số La Mã
"<p><em style=""background-color: transparent; color: rgb(0, 0, 0);"">Xét tính đúng sai cho các khẳng định sau:</em></p>",01.K6.1.4.1 - Biểu diễn được các số tự nhiên từ 1 đến 30 bằng cách sử dụng các chữ số La Mã
"<p><em style=""background-color: transparent; color: rgb(0, 0, 0);"">Xét tính đúng sai cho các khẳng định sau:</em></p>",01.K6.1.4.1 - Biểu diễn được các số tự nhiên từ 1 đến 30 bằng cách sử dụng các chữ số La Mã
"<p><em style=""background-color: transparent; color: rgb(0, 0, 0);"">Xét tính đúng sai cho các khẳng định sau:</em></p>",01.K6.1.4.1 - Biểu diễn được các số tự nhiên từ 1 đến 30 bằng cách sử dụng các chữ số La Mã
"<p><em style=""color: rgb(0, 0, 0); background-color: transparent;"">Điền số tự nhiên thích hợp vào ô trống.</em></p><p class=""ql-align-center"">Đồng hồ chỉ __3__ giờ</p>",01.K6.1.4.1 - Biểu diễn được các số tự nhiên từ 1 đến 30 bằng cách sử dụng các chữ số La Mã
"<p><em style=""background-color: transparent; color: rgb(0, 0, 0);"">Điền số La Mã thích hợp vào ô trống.</em></p><p>Ngày&nbsp;5-6-1911, tại Bến cảng Nhà Rồng, thành phố Sài Gòn – Gia Định thuộc thế kỉ __XX__</p>",01.K6.1.4.1 - Biểu diễn được các số tự nhiên từ 1 đến 30 bằng cách sử dụng các chữ số La Mã
"<p><em style=""color: rgb(0, 0, 0); background-color: transparent;"">Điền số La Mã thích hợp vào ô trống.</em></p><p>Số La Mã “Mười chín” là: __$XIX$__</p>",01.K6.1.4.1 - Biểu diễn được các số tự nhiên từ 1 đến 30 bằng cách sử dụng các chữ số La Mã
"<p><em style=""background-color: transparent; color: rgb(0, 0, 0);"">Điền số La Mã thích hợp vào ô trống.</em></p><p>Viết kết quả dưới dạng số La Mã: 37 – 12 = __XXV__</p>",01.K6.1.4.1 - Biểu diễn được các số tự nhiên từ 1 đến 30 bằng cách sử dụng các chữ số La Mã
"<p><em style=""background-color: transparent; color: rgb(0, 0, 0);"">Điền số La Mã thích hợp vào ô trống.</em></p><p>Từ 4 que diêm xếp được số La Mã lớn nhất là __XX__</p>",01.K6.1.4.1 - Biểu diễn được các số tự nhiên từ 1 đến 30 bằng cách sử dụng các chữ số La Mã
"<p>Điền từ vào chỗ trống để có một câu hoàn chỉnh </p><p>Năm 1972 chiến thắng B52, Mỹ phải họp hội nghị ở Paris thuộc thế kỉ __XX/XIX/XVIII__</p>",01.K6.1.4.1 - Biểu diễn được các số tự nhiên từ 1 đến 30 bằng cách sử dụng các chữ số La Mã
<p>Sắp xếp theo thứ tự tăng dần XXI; XIX; XV; XXIV</p>,01.K6.1.4.1 - Biểu diễn được các số tự nhiên từ 1 đến 30 bằng cách sử dụng các chữ số La Mã
<p>Sắp xếp theo thứ tự từ lớn đến bé: </p>,01.K6.1.4.1 - Biểu diễn được các số tự nhiên từ 1 đến 30 bằng cách sử dụng các chữ số La Mã
Câu hỏi chỉ có 1 đáp án đúng (thầy cô có thể thay đổi thứ tự của các đáp án),01.K6.1.4.1 - Biểu diễn được các số tự nhiên từ 1 đến 30 bằng cách sử dụng các chữ số La Mã
<p>Nối đáp án cột A sao cho phù hợp với cột B </p>,01.K6.1.4.1 - Biểu diễn được các số tự nhiên từ 1 đến 30 bằng cách sử dụng các chữ số La Mã
"<p class=""ql-align-justify"">Nối các sự kiện với thời gian tương ứng.</p>",01.K6.1.4.1 - Biểu diễn được các số tự nhiên từ 1 đến 30 bằng cách sử dụng các chữ số La Mã
"<p class=""ql-align-justify"">Nối thời gian tương ứng với đồng hồ.</p>",01.K6.1.4.1 - Biểu diễn được các số tự nhiên từ 1 đến 30 bằng cách sử dụng các chữ số La Mã
"<p>Chọn đáp án thích hợp.</p><p><span style=""color: rgb(81, 81, 81);"">﻿Năm 1972 chiến thắng B52, Mỹ phải họp hội nghị ở Paris thuộc thế kỉ [XX|XIX|XVIII]</span></p>",01.K6.1.4.1 - Biểu diễn được các số tự nhiên từ 1 đến 30 bằng cách sử dụng các chữ số La Mã
Câu hỏi chỉ có 1 đáp án đúng (thầy cô có thể thay đổi thứ tự của các đáp án),01.K6.1.4.1 - Biểu diễn được các số tự nhiên từ 1 đến 30 bằng cách sử dụng các chữ số La Mã
<p>Tập hợp $A$ gồm các số tự nhiên trong đoạn $CD$ là:</p>,01.K6.1.5.1 - Biểu diễn được số tự nhiên trên tia số
<p>Tập hợp $B$ gồm các số tự nhiên nhỏ hơn điểm $C$ là</p>,01.K6.1.5.1 - Biểu diễn được số tự nhiên trên tia số
"<p><span style=""color: black;"">Trong các dãy sau, dãy nào cho ta ba số tự nhiên liên tiếp giảm dần?</span></p>",01.K6.1.5.1 - Biểu diễn được số tự nhiên trên tia số
